Tempo,Particulas virais/uL
0.0,165.0
0.01,164.57686416355804
0.02,164.31918220836184
0.03,164.2168325725551
0.04,164.26035745340715
0.05,164.44091462127776
0.06,164.75023288559564
0.07,165.18057090837894
0.08,165.7246790897663
0.09,166.37576427583082
0.1,167.12745706199755
0.11,167.9737814860145
0.12,168.90912692292005
0.13,169.92822201106134
0.14,171.02611045316166
0.15,172.198128549902
0.16,173.43988433563558
0.17,174.74723819684195
0.18,176.1162848638728
0.19,177.54333667555835
0.2,179.02490802442742
0.21,180.55770089773446
0.22,182.13859143625623
0.23,183.76461743898957
0.24,185.43296674750763
0.25,187.14096644886973
0.26,188.88607284067473
0.27,190.66586210614338
0.28,192.47802165104858
0.29,194.32034205791575
0.3,196.19070961622148
0.31,198.08709939035083
0.32,200.00756878985976
0.33,201.9502516091474
0.34,203.91335250599548
0.35000000000000003,205.89514189059636
0.36,207.89395119868053
0.37,209.90816852418777
0.38,211.93623458861248
0.39,213.97663902570696
0.4,216.02791696165826
0.41000000000000003,218.08864587217153
0.42,220.15744269910869
0.43,222.23296121045036
0.44,224.3138895883809
0.45,226.3989482312479
0.46,228.4868877560242
0.47000000000000003,230.576487188709
0.48,232.6665523308506
0.49,234.75591429106
0.5,236.84342817101978
0.51,238.9279718960774
0.52,241.00844518105262
0.53,243.0837686223875
0.54,245.15288290822855
0.55,247.21474813845742
0.56,249.26834324708122
0.5700000000000001,251.31266551975915
0.58,253.34673019958268
0.59,255.3695701745419
0.6,257.3802357404051
0.61,259.37779443301406
0.62,261.361330924254
0.63,263.3299469762005
0.64,265.28276144817204
0.65,267.2189103516328
0.66,269.13754694809654
0.67,271.03784188537395
0.68,272.91898336769697
0.6900000000000001,274.78017735542943
0.7000000000000001,276.6206477902492
0.71,278.43963684185456
0.72,280.23640517241085
0.73,282.0102322151156
0.74,283.7604164634158
0.75,285.48627576756815
0.76,287.1871476353845
0.77,288.8623895341592
0.78,290.51137919092395
0.79,292.1335148883273
0.8,293.7282157535857
0.81,295.29492203810196
0.8200000000000001,296.8330953854971
0.8300000000000001,298.342219085949
0.84,299.8217983148827
0.85,301.2713603542017
0.86,302.6904547944016
0.87,304.0786537160515
0.88,305.4355518492773
0.89,306.7607667100245
0.9,308.053938712024
0.91,309.3147312535255
0.92,310.54283077800443
0.93,311.7379468081861
0.9400000000000001,312.8998119528672
0.9500000000000001,314.02818188614657
0.96,315.1228352988081
0.97,316.1835738217236
0.98,317.2102219212652
0.99,318.2026267668368
1.0,319.1606580707442
1.01,320.0842079007356
1.02,320.9731904656433
1.03,321.82754187466054
1.04,322.6472198708743
1.05,323.43220353976614
1.06,324.1824929934707
1.07,324.8981090316582
1.08,325.57909277997317
1.09,326.2255053070265
1.1,326.83742722099095
1.11,327.4149582469019
1.12,327.9582167858055
1.1300000000000001,328.4673394569359
1.1400000000000001,328.9424806241313
1.1500000000000001,329.3838119077237
1.16,329.7915216831567
1.17,330.1658145675951
1.18,330.5069108958005
1.19,330.8150461865458
1.2,331.09047060083844
1.21,331.33344839321285
1.22,331.54425735734054
1.23,331.72318826718526
1.24,331.87054431491106
1.25,331.9866405467231
1.26,332.0718032977921
1.27,332.12636962737963
1.28,332.1506867552459
1.29,332.14511150038214
1.3,332.11000972306977
1.31,332.04575577122336
1.32,331.9527319319317
1.33,331.8313278890627
1.34,331.68194018775205
1.35,331.504971706545
1.36,331.30083113791363
1.37,331.06993247782026
1.3800000000000001,330.8126945249494
1.3900000000000001,330.5295403901804
1.4000000000000001,330.22089701682296
1.41,329.8871947120904
1.42,329.5288666902351
1.43,329.14634862772573
1.44,328.74007823079705
1.45,328.3104948156599
1.46,327.8580389016138
1.47,327.38315181726244
1.48,326.886275319992
1.49,326.36785122883134
1.5,325.8283210707766
1.51,325.26812574062666
1.52,324.68770517433995
1.53,324.0874980358931
1.54,323.4679414175889
1.55,322.829470553734
1.56,322.17251854757734
1.57,321.4975161113787
1.58,320.8048913194489
1.59,320.0950693739859
1.6,319.36847238350714
1.61,318.625519153664
1.62,317.8666249902047
1.6300000000000001,317.092201513839
1.6400000000000001,316.3026564867445
1.6500000000000001,315.4983936504421
1.6600000000000001,314.6798125747576
1.67,313.8473085175795
1.68,313.00127229511355
1.69,312.14209016232877
1.7,311.27014370328607
1.71,310.3858097310351
1.72,309.4894601967636
1.73,308.5814621078806
1.74,307.66217745471573
1.75,306.73196314551524
1.76,305.7911709494183
1.77,304.8401474470973
1.78,303.8792339887496
1.79,302.9087666591308
1.8,301.92907624932377
